"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J7";"AMPHENOL_UE25BE5510H";1;"UE25BE5510H";;;
2;"J8,J6";"SolderWire-1sqmm_1x03_P5.4mm_D1.4mm_OD2.7mm";2;"Conn_01x03_Pin";;;
3;"R1,R6,R2,R3,R4,R5";"R_0805_2012Metric";6;"100k";;;
4;"A1";"Arduino_Nano_pads";1;"Arduino_Nano_v3.x";;;
5;"IC1";"SOIC127P600X175-8N";1;"AS5600-ASOM";;;
6;"C5";"C_0805_2012Metric";1;"1uF";;;
7;"C3";"C_0805_2012Metric";1;"10uF";;;
8;"J3";"Molex_CLIK-Mate_502382-0670_1x06-1MP_P1.25mm_Vertical";1;"Conn_01x06_Pin";;;
9;"J2";"PinSocket_1x03_P1.27mm_Vertical";1;"Conn_01x03_Pin";;;
10;"R9,R8";"R_0805_2012Metric";2;"10k";;;
11;"U1";"21-100586_K2033&plus_1C_ADI";1;"TMC6300-LA-T";;;
12;"R7";"R_0805_2012Metric";1;"0.12";;;
13;"C2,C4,C1";"C_0805_2012Metric";3;"0.1uF";;;
